#lemma	stem
nastawk	nastawk
kapitl	kapitl
markěrowanje	markěrowanj
předłoha	předłoh
biologija	biologij
wobłuk	wobłuk
swět	swět
wědomosć	wědomosć
biochemija	biochemij
genetika	genetik
fyziologija	fyziologij
anatomija	anatomij
etologija	etologij
ekologija	ekologij
systematika	systematik
botanika	botanik
coologija	coologij
mykologija	mykologij
mikrobiologija	mikrobiologij
morfologija	morfologij
bionika	bionik
disciplina	disciplin
wirologija	wirologij
specializowany	specializowan
ćěleso	ćěles
prućik	prućik
struktura	struktur
mikrotubulij	mikrotubulij
zakótwjenje	zakótwjenj
cytoskelet	cytoskelet
mitoza	mitoz
čas	čas
dźělenje	dźělenj
bańka	bańk
fragmoplast	fragmoplast
pyrenoid	pyrenoid
hrib	hrib
wottwar	wottwar
rostlina	rostlin
symbioz	symbioz
mykorica	mykoric
parazit	parazit
kónčina	kónčin
mjez	mjez
horina	horin
golf	golf
pusćina	pusćin
region	region
kónc	kónc
mócnarstwo	mócnarstw
zapřijeće	zapřijeć
epocha	epoch
wutwor	wutwor
mjeno	mjen
institut	institut
rěč	rěč
stawizna	stawizn
kultura	kultur
zašłosć	zašłosć
přitomnosć	přitomnosć
materialija	materialij
slědźenje	slědźenj
zjawnosć	zjawnosć
połoženje	połoženj
wosebitosć	wosebitosć
přirunowanje	přirunowanj
sobudźěłaćer	sobudźěłaćer
praksa	praks
móžnosć	móžnosć
sydło	sydł
wotnožka	wotnožk
januar	januar
stat	stat
kraj	kraj
forma	form
towarstwo	towarstw
tradicija	tradicij
slědźenišćo	slědźenišć
ludospyt	ludospyt
lěto	lět
akademija	akademij
zarjadnišće	zarjadnišć
wukraj	wukraj
fachowc	fachowc
nadawk	nadawk
uniwersita	uniwersit
šula	šul
kurs	kurs
woda	wod
oksid	oksid
atom	atom
protium	protium
symbol	symbol
izotop	izotop
deuterium	deuterium
tritium	tritium
cycak	cycak
podklasa	podklas
porjad	porjad
strona	stron
měchawc	měchawc
raz	raz
skupina	skupin
swójba	swójb
město	měst
doba	dob
symjenjo	symjenj
dźeń	dźeń
archiw	archiw
sobota	sobot
měrc	měrc
hodźina	hodźin
premjera	premjer
zwjazk	zwjazk
spis	spis
kniharnja	kniharnj
zaměr	zaměr
słowoskład	słowoskład
słowo	słow
funkcija	funkcij
wužiwar	wužiwar
jednota	jednot
moc	moc
palast	palast
kral	kral
reprezentacija	reprezentacij
lugal	lugal
čłowjek	čłowjek
narok	narok
knježićel	knježićel
row	row
družbina	družbin
projekt	projekt
wustup	wustup
adresa	adres
wotrězk	wotrězk
mjezota	mjezot
družina	družin
cest	cest
werb	werb
substantiw	substantiw
reja	rej
adjektiw	adjektiw
adwerb	adwerb
hamor	hamor
rjemjesło	rjemjesł
wikowanje	wikowanj
wuznam	wuznam
sydlišće	sydlišć
spad	spad
smjerć	smjerć
wójsko	wójsk
lětoličba	lětoličb
centrum	centrum
pomjatk	pomjatk
generacija	generacij
přičina	přičin
lud	lud
wuchod	wuchod
lětstotk	lětstotk
znamjenje	znamjenj
zastupjer	zastupjer
takson	takson
charofyta	charofyt
chloroplastida	chloroplastid
chloroplast	chloroplast
chlorophyll	chlorophyll
pigment	pigment
karotinoid	karotinoid
škrob	škrob
polysaccharid	polysaccharid
sćěna	sćěn
celuloza	celuloz
sporopolenin	sporopolenin
sporofyt	sporofyt
kutikula	kutikul
wjazba	wjazb
žiwoch	žiwoch
zemja	zemj
wuměnjenje	wuměnjenj
temperatura	temperatur
dypk	dypk
maćizna	maćizn
lód	lód
para	par
zarjadnistwo	zarjadnistw
wudawanje	wudawanj
wukaz	wukaz
kodeks	kodeks
rozpad	rozpad
zańdźenje	zańdźenj
šansa	šans
postup	postup
lisćina	lisćin
nacionalsocializm	nacionalsocializm
nationalsozialismus	nationalsozialismus
nacizm	nacizm
ideologija	ideologij
swětonahlad	swětonahlad
republika	republik
wójna	wójn
złóstnistwo	złóstnistw
reich	reich
přikład	přikład
holocaust	holocaust
kajkosć	kajkosć
faza	faz
geometrija	geometrij
powjerch	powjerch
organizm	organizm
wumjenje	wumjenj
miliarda	miliard
wobydler	wobydler
wobydlerstwo	wobydlerstw
proces	proces
pad	pad
změna	změn
system	system
knjejstwo	knjejstw
rozpjeće	rozpjeć
přeměnjenje	přeměnjenj
titl	titl
kubl	kubl
konferenca	konferenc
referent	referent
referentka	referentk
hospodarstwo	hospodarstw
ablawt	ablawt
wokal	wokal
dołhosć	dołhosć
pomjenowanje	pomjenowanj
schodźenk	schodźenk
njedostatk	njedostatk
parameter	parameter
podrobnosć	podrobnosć
dokumentacija	dokumentacij
zelo	zel
słoma	słom
bělkowina	bělkowin
žratwa	žratw
junij	junij
awgust	awgust
dźiwadźelnica	dźiwadźelnic
spěwarka	spěwark
model	model
sex	sex
rjad	rjad
přesunjenje	přesunjenj
wobraz	wobraz
čoło	čoł
bóh	bóh
kupnica	kupnic
móc	móc
puć	puć
přitok	přitok
morjo	morj
wobstaće	wobstać
zběžk	zběžk
tworjenje	tworjenj
preteritum	preteritum
eksonym	eksonym
objekt	objekt
rěka	rěk
hora	hor
krajina	krajin
zběrka	zběrk
wupisk	wupisk
wučbnica	wučbnic
geografija	geografij
lětnik	lětnik
słownik	słownik
leksika	leksik
naprašowanje	naprašowanj
kooperacija	kooperacij
symjenišćo	symjenišć
płódnik	płódnik
płod	płod
dźěl	dźěl
kćenje	kćenj
diftong	diftong
sćěh	sćěh
połojca	połojc
lěttysac	lěttysac
nopa	nop
dom	dom
wěstota	wěstot
poměr	poměr
namakanka	namakank
figurina	figurin
obsidian	obsidian
mnóstwo	mnóstw
brjenka	brjenk
dopokaz	dopokaz
kislik	kislik
płun	płun
element	element
ocon	ocon
spočatk	spočatk
njewotwisnosć	njewotwisnosć
róla	ról
běh	běh
přewinjenje	přewinjenj
dualizm	dualizm
institucija	institucij
wid	wid
hodownik	hodownik
měsac	měsac
swjedźeń	swjedźeń
hody	hod
patoržica	patoržic
december	december
silwester	silwester
teritorij	teritorij
žiwjenje	žiwjenj
disponujomnosć	disponujomnosć
wažnosć	wažnosć
mapa	map
barba	barb
metr	metr
zastaranje	zastaranj
hranica	hranic
konflikt	konflikt
srědk	srědk
stolica	stolic
gametofyt	gametofyt
organ	organ
anteridija	anteridij
archegonija	archegonij
krytosymjenjak	krytosymjenjak
přednošk	přednošk
wurjekowanje	wurjekowanj
kralestwo	kralestw
juhowuchod	juhowuchod
milion	milion
aglomeracija	aglomeracij
