#sent_id = 1

#text = Hłowna strona:

1	Hłowna	_	ADJ	_	_	_	_	_	_

2	strona	_	NOUN	_	_	_	_	_	_

3	:	_	NOUN	_	_	_	_	_	_



#sent_id = 2

#text = Benedikt XVI.:

1	Benedikt	_	PROPN	_	_	_	_	_	_

2	XVI	_	NUM	_	_	_	_	_	_

3	.	_	PUNCT	_	_	_	_	_	_

4	:	_	NOUN	_	_	_	_	_	_



#sent_id = 3

#text = Benedikt XVI.

1	Benedikt	_	PROPN	_	_	_	_	_	_

2	XVI	_	NUM	_	_	_	_	_	_

3	.	_	PUNCT	_	_	_	_	_	_



#sent_id = 4

#text = (łaćonsce "Benedictus PP.

1	(	_	NOUN	_	_	_	_	_	_

2	łaćonsce	_	ADJ	_	_	_	_	_	_

3	"Benedictus	_	PROPN	_	_	_	_	_	_

4	PP	_	X	_	_	_	_	_	_

5	.	_	PUNCT	_	_	_	_	_	_



#sent_id = 5

#text = XVI"), z byrgarskim mjenom Josef Alois Ratzinger (* 16.

1	XVI	_	NUM	_	_	_	_	_	_

2	"	_	NOUN	_	_	_	_	_	_

3	)	_	PUNCT	_	_	_	_	_	_

4	,	_	PUNCT	_	_	_	_	_	_

5	z	_	ADP	_	_	_	_	_	_

6	byrgarskim	_	ADJ	_	_	_	_	_	_

7	mjenom	_	NOUN	_	_	_	_	_	_

8	Josef	_	PROPN	_	_	_	_	_	_

9	Alois	_	PROPN	_	_	_	_	_	_

10	Ratzinger	_	PROPN	_	_	_	_	_	_

11	(	_	NOUN	_	_	_	_	_	_

12	*	_	PUNCT	_	_	_	_	_	_

13	16	_	NUM	_	_	_	_	_	_

14	.	_	PUNCT	_	_	_	_	_	_



#sent_id = 6

#text = apryla 1927 w Marktl am Inn), běše wot 19.

1	apryla	_	NOUN	_	_	_	_	_	_

2	1927	_	NUM	_	_	_	_	_	_

3	w	_	ADP	_	_	_	_	_	_

4	Marktl	_	PROPN	_	_	_	_	_	_

5	am	_	PROPN	_	_	_	_	_	_

6	Inn	_	PROPN	_	_	_	_	_	_

7	)	_	PUNCT	_	_	_	_	_	_

8	,	_	PUNCT	_	_	_	_	_	_

9	běše	_	VERB	_	_	_	_	_	_

10	wot	_	ADP	_	_	_	_	_	_

11	19	_	NUM	_	_	_	_	_	_

12	.	_	PUNCT	_	_	_	_	_	_



#sent_id = 7

#text = apryla 2005 do 28.

1	apryla	_	NOUN	_	_	_	_	_	_

2	2005	_	NUM	_	_	_	_	_	_

3	do	_	ADP	_	_	_	_	_	_

4	28	_	NUM	_	_	_	_	_	_

5	.	_	PUNCT	_	_	_	_	_	_



#sent_id = 8

#text = februara 2013 bamž a z tym nawoda romsko-katolskeje cyrkwje a Watikana.
